,Intolerance,wealth_intolerance,Avg pct similar neighbors
891,0.25,0.25,59.5
892,0.25,0.25,59.5
893,0.25,0.25,59.5
894,0.25,0.25,59.5
895,0.25,0.25,59.5
896,0.25,0.25,59.5
897,0.25,0.25,59.5
898,0.25,0.25,59.5
899,0.25,0.25,59.5
900,0.25,0.25,59.5
901,0.25,0.25,59.5
902,0.25,0.25,59.5
903,0.25,0.25,59.5
904,0.25,0.25,59.5
905,0.25,0.25,59.5
906,0.25,0.25,59.5
907,0.25,0.25,59.5
908,0.25,0.25,59.5
909,0.25,0.25,59.5
910,0.25,0.25,59.5
911,0.25,0.25,59.5
912,0.25,0.25,59.5
913,0.25,0.25,59.5
914,0.25,0.25,59.5
915,0.25,0.25,59.5
916,0.25,0.25,59.5
917,0.25,0.25,59.5
918,0.25,0.25,0.0
919,0.25,0.25,0.0
920,0.25,0.25,51.2
921,0.25,0.25,54.9
922,0.25,0.25,55.9
923,0.25,0.25,56.7
924,0.25,0.25,57.1
925,0.25,0.25,57.1
926,0.25,0.25,57.1
927,0.25,0.25,57.1
928,0.25,0.25,57.1
929,0.25,0.25,57.2
930,0.25,0.25,57.1
931,0.25,0.25,57.2
932,0.25,0.25,57.5
933,0.25,0.25,57.6
934,0.25,0.25,57.6
935,0.25,0.25,57.6
936,0.25,0.25,57.6
937,0.25,0.25,57.6
938,0.25,0.25,57.6
939,0.25,0.25,57.6
940,0.25,0.25,57.6
941,0.25,0.25,57.6
942,0.25,0.25,57.6
943,0.25,0.25,57.6
944,0.25,0.25,57.6
945,0.25,0.25,57.6
946,0.25,0.25,57.6
947,0.25,0.25,57.6
948,0.25,0.25,57.6
949,0.25,0.25,57.6
950,0.25,0.25,57.6
951,0.25,0.25,57.6
952,0.25,0.25,57.6
953,0.25,0.25,57.6
954,0.25,0.25,57.6
955,0.25,0.25,57.6
956,0.25,0.25,57.6
957,0.25,0.25,57.6
958,0.25,0.25,57.6
959,0.25,0.25,57.6
960,0.25,0.25,57.6
961,0.25,0.25,57.6
962,0.25,0.25,57.6
963,0.25,0.25,57.6
964,0.25,0.25,57.6
965,0.25,0.25,57.6
966,0.25,0.25,57.6
967,0.25,0.25,57.6
968,0.25,0.25,57.6
969,0.25,0.25,0.0
970,0.25,0.25,0.0
971,0.25,0.25,52.3
972,0.25,0.25,55.2
973,0.25,0.25,57.3
974,0.25,0.25,57.8
975,0.25,0.25,58.1
976,0.25,0.25,58.2
977,0.25,0.25,58.2
978,0.25,0.25,58.2
979,0.25,0.25,58.2
980,0.25,0.25,58.2
981,0.25,0.25,58.2
982,0.25,0.25,58.2
983,0.25,0.25,58.2
984,0.25,0.25,58.2
985,0.25,0.25,58.2
986,0.25,0.25,58.2
987,0.25,0.25,58.2
988,0.25,0.25,58.2
